date,sales,units_sold,COGs,mean_discount,mean_selling_price,mean_tranaction_sales,mean_units_sold,mean_COGs
2018-07-16,17796.249999999993,3275.0,6845.979999999998,0.013429951690821236,5.6193596059113275,43.833128078817715,8.066502463054187,16.862019704433493
2018-07-17,14875.260000000004,2680.0,5718.500000000007,0.01786833855799372,5.779776357827474,47.52479233226838,8.562300319488818,18.269968051118234
2018-07-18,12371.259999999998,2257.0,4837.44,0.013614035087719308,5.736164874551971,44.341433691756265,8.089605734767025,17.33849462365591
2018-07-19,9605.670000000004,1779.0,3714.0600000000004,0.008217054263565896,5.602213438735177,37.96707509881424,7.031620553359684,14.680079051383402
2018-07-20,9803.690000000004,1728.0,3819.7099999999996,0.018584905660377373,5.863207547169805,46.243820754717,8.150943396226415,18.0175
2018-07-21,4416.799999999999,840.0,1728.4200000000005,0.009908256880733948,5.35140186915888,41.27850467289719,7.850467289719626,16.15345794392524
2018-07-22,5437.709999999997,970.0,2098.56,0.006363636363636364,5.586076923076925,41.82853846153844,7.461538461538462,16.14276923076923
2018-07-23,18021.06000000002,3106.0,6972.989999999999,0.01939226519337013,5.965949720670389,50.33815642458106,8.675977653631286,19.47762569832402
2018-07-24,14917.800000000005,2455.0,5678.589999999999,0.014434250764525966,6.297531250000001,46.61812500000001,7.671875,17.745593749999998
2018-07-25,18604.769999999997,3572.0,7309.520000000003,0.01591715976331358,5.67918918918919,55.87018018018017,10.726726726726726,21.95051051051052
2018-07-26,12914.379999999997,2255.0,4950.95,0.009438943894389446,5.898862876254182,43.19190635451504,7.54180602006689,16.558361204013377
2018-07-27,7664.909999999998,1481.0,2943.519999999999,0.015248618784530397,5.287828571428571,43.7994857142857,8.462857142857143,16.82011428571428
2018-07-28,4692.499999999998,727.0,1809.68,0.0207920792079208,6.621515151515154,47.39898989898988,7.343434343434343,18.27959595959596
2018-07-29,5860.369999999995,1008.0,2241.679999999998,0.011111111111111117,6.35688,46.88295999999996,8.064,17.933439999999983
2018-07-30,17798.289999999997,3331.0,6901.889999999997,0.01535452322738384,5.563890274314208,44.38476309226932,8.306733167082294,17.211695760598495
