date,sales
2016-12-13,9030.84
2016-12-14,13563.649999999992
2016-12-15,6039.620000000003
2016-12-16,4205.089999999998
2016-12-17,1973.54
2016-12-18,2258.22
2016-12-19,12540.900000000003
2016-12-20,2302.4500000000007
2016-12-21,3544.660000000001
2016-12-22,1989.7600000000002
2016-12-23,723.4900000000001
2016-12-24,575.3800000000001
2016-12-25,23.700000000000003
2016-12-26,951.65
2016-12-27,4013.67
2016-12-28,4318.28
2016-12-29,1179.7500000000002
2016-12-30,2989.12
2016-12-31,1589.72
2017-01-01,884.0100000000002
2017-01-02,3530.66
2017-01-03,3571.9599999999996
2017-01-04,3360.28
2017-01-05,2933.86
2017-01-06,2959.6800000000003
2017-01-07,1168.2
2017-01-08,1635.3700000000001
2017-01-09,5442.0099999999975
2017-01-10,6239.72
2017-01-11,6133.2300000000005
2017-01-12,3276.78
2017-01-13,4379.019999999999
2017-01-14,2383.6700000000005
2017-01-15,1463.3200000000002
2017-01-16,7016.329999999998
2017-01-17,5697.179999999998
2017-01-18,5008.990000000002
2017-01-19,9314.129999999996
2017-01-20,2714.69
2017-01-21,1167.4400000000003
2017-01-22,1060.43
2017-01-23,7204.8899999999985
2017-01-24,6393.999999999995
2017-01-25,5760.069999999999
2017-01-26,4217.4800000000005
2017-01-27,2955.8
2017-01-28,1356.1400000000003
2017-01-29,498.39
2017-01-30,9322.770000000002
2017-01-31,8564.14
2017-02-01,5017.1399999999985
2017-02-02,6156.0999999999985
2017-02-03,5389.219999999998
2017-02-04,1293.2900000000004
2017-02-05,1773.6499999999999
2017-02-06,6064.66
2017-02-07,7966.849999999999
2017-02-08,8240.439999999999
2017-02-09,5245.669999999998
2017-02-10,2826.3799999999997
2017-02-11,1641.2100000000005
2017-02-12,2136.6900000000005
2017-02-13,5665.339999999999
2017-02-14,4580.62
2017-02-15,4970.91
2017-02-16,7058.060000000001
2017-02-17,5271.209999999999
2017-02-18,4467.94
2017-02-19,2224.8799999999997
2017-02-20,8185.339999999995
2017-02-21,6821.52
2017-02-22,7110.739999999999
2017-02-23,7013.039999999998
2017-02-24,5079.339999999997
2017-02-25,2273.56
2017-02-26,2600.76
2017-02-27,8789.209999999997
2017-02-28,7407.95
2017-03-01,10742.409999999993
2017-03-02,9158.700000000003
2017-03-03,3551.1200000000003
2017-03-04,1596.0700000000004
2017-03-05,2360.69
2017-03-06,9355.959999999997
2017-03-07,9335.310000000003
2017-03-08,8574.210000000003
2017-03-09,6823.809999999999
2017-03-10,5042.299999999998
2017-03-11,2843.88
2017-03-12,3063.4100000000003
2017-03-13,10952.789999999992
2017-03-14,5796.4299999999985
2017-03-15,13365.520000000006
2017-03-16,6282.97
2017-03-17,5918.249999999998
2017-03-18,983.65
2017-03-19,2165.130000000001
2017-03-20,6937.48
2017-03-21,7998.189999999998
2017-03-22,9729.149999999994
2017-03-23,5435.270000000001
2017-03-24,3822.3199999999997
2017-03-25,2868.3200000000006
2017-03-26,6164.480000000002
2017-03-27,8760.019999999999
2017-03-28,8331.679999999998
2017-03-29,10951.01
2017-03-30,9238.929999999995
2017-03-31,5696.039999999998
2017-04-01,2246.02
2017-04-02,3149.5900000000006
2017-04-03,8730.219999999998
2017-04-04,12247.3
2017-04-05,8652.329999999998
2017-04-06,6619.779999999999
2017-04-07,6211.1399999999985
2017-04-08,1368.4400000000003
2017-04-09,2874.85
2017-04-10,13108.229999999987
2017-04-11,9489.640000000001
2017-04-12,7657.520000000004
2017-04-13,9303.06
2017-04-14,3582.6500000000015
2017-04-15,1130.9800000000005
2017-04-16,999.8100000000001
2017-04-17,5290.369999999998
2017-04-18,8197.250000000002
2017-04-19,9073.629999999997
2017-04-20,8946.429999999998
2017-04-21,4685.87
2017-04-22,1997.19
2017-04-23,2926.520000000001
2017-04-24,10771.599999999997
2017-04-25,14937.42999999999
2017-04-26,10909.339999999995
2017-04-27,6622.0999999999985
2017-04-28,5909.280000000002
2017-04-29,2752.9
2017-04-30,2972.3499999999995
2017-05-01,10685.979999999992
2017-05-02,8901.339999999997
2017-05-03,11588.310000000005
2017-05-04,12048.499999999989
2017-05-05,5249.020000000001
2017-05-06,3864.8900000000003
2017-05-07,3584.590000000001
2017-05-08,13852.379999999997
2017-05-09,12539.429999999993
2017-05-10,8675.730000000005
2017-05-11,10760.259999999998
2017-05-12,7745.67
2017-05-13,2173.29
2017-05-14,3106.8500000000004
2017-05-15,14094.449999999993
2017-05-16,13153.35
2017-05-17,10466.630000000001
2017-05-18,10015.45
2017-05-19,3903.6200000000003
2017-05-20,4219.280000000002
2017-05-21,2909.419999999999
2017-05-22,15345.080000000002
2017-05-23,10751.910000000005
2017-05-24,10316.990000000005
2017-05-25,6515.729999999998
2017-05-26,6036.599999999999
2017-05-27,2473.76
2017-05-28,778.8400000000001
2017-05-29,3483.169999999999
2017-05-30,12770.269999999995
2017-05-31,7210.3700000000035
2017-06-01,9654.46
2017-06-02,7266.4800000000005
2017-06-03,3652.1199999999985
2017-06-04,3847.3100000000004
2017-06-05,11148.01
2017-06-06,8317.430000000002
2017-06-07,7417.119999999999
2017-06-08,8815.63
2017-06-09,8234.130000000003
2017-06-10,1301.6799999999998
2017-06-11,3288.53
2017-06-12,11784.220000000001
2017-06-13,7414.279999999995
2017-06-14,11061.869999999995
2017-06-15,8789.199999999999
2017-06-16,5793.919999999998
2017-06-17,2634.899999999999
2017-06-18,2795.91
2017-06-19,8651.779999999995
2017-06-20,11437.369999999997
2017-06-21,11270.980000000005
2017-06-22,9296.870000000003
2017-06-23,6309.8799999999965
2017-06-24,2068.4399999999996
2017-06-25,3366.0199999999995
2017-06-26,11741.020000000002
