date,product_id,sales
2016-12-16,384310.0,42.480000000000004
2016-12-16,384317.0,42.160000000000004
2016-12-16,384324.0,51.239999999999995
2016-12-16,384338.0,0.0
2016-12-16,384345.0,16.11
2016-12-16,384352.0,31.799999999999997
2016-12-16,384359.0,37.379999999999995
2016-12-16,384366.0,0.0
2016-12-16,569047.0,0.0
2016-12-16,569054.0,0.0
2016-12-16,569061.0,0.0
2016-12-16,569068.0,24.01
2016-12-16,569768.0,0.0
2016-12-16,569775.0,306.18
2016-12-16,569782.0,652.5000000000001
2016-12-16,569789.0,242.11
2016-12-16,569796.0,203.28
2016-12-16,569831.0,0.0
2016-12-16,569838.0,0.0
2016-12-16,569845.0,0.0
2016-12-16,569880.0,0.0
2016-12-16,569887.0,0.0
2016-12-16,569894.0,0.0
2016-12-16,569901.0,395.10000000000014
2016-12-16,569908.0,0.0
2016-12-16,569936.0,0.0
2016-12-16,569943.0,0.0
2016-12-16,569950.0,87.32
2016-12-16,569957.0,0.0
2016-12-16,569964.0,0.0
2016-12-16,1609457.0,0.0
2016-12-16,1609870.0,0.0
2016-12-16,1609877.0,0.0
2016-12-16,1609884.0,0.0
2016-12-16,1609891.0,0.0
2016-12-16,1609898.0,0.0
2016-12-16,1609912.0,0.0
2016-12-16,1609926.0,0.0
2016-12-17,383372.0,68.0
2016-12-17,383379.0,86.9
2016-12-17,383386.0,33.660000000000004
2016-12-17,383393.0,0.0
2016-12-17,383400.0,65.6
2016-12-17,384212.0,81.60000000000001
2016-12-17,384219.0,137.28
2016-12-17,384226.0,162.44
2016-12-17,384233.0,70.59000000000003
2016-12-17,384240.0,51.48
2016-12-17,384254.0,0.0
2016-12-17,384261.0,52.300000000000004
2016-12-17,384268.0,41.92
2016-12-17,384275.0,0.0
2016-12-17,384282.0,0.0
2016-12-17,384296.0,0.0
2016-12-17,384303.0,0.0
2016-12-17,384310.0,10.620000000000001
2016-12-17,384317.0,10.540000000000001
2016-12-17,384324.0,0.0
2016-12-17,384338.0,0.0
2016-12-17,384345.0,0.0
2016-12-17,384352.0,26.5
2016-12-17,384359.0,0.0
2016-12-17,384366.0,0.0
2016-12-17,569047.0,177.66
2016-12-17,569054.0,0.0
2016-12-17,569061.0,0.0
2016-12-17,569068.0,0.0
2016-12-17,569768.0,130.74000000000004
2016-12-17,569775.0,0.0
2016-12-17,569782.0,108.75000000000003
2016-12-17,569789.0,176.08
2016-12-17,569796.0,0.0
2016-12-17,569824.0,108.85000000000002
2016-12-17,569831.0,0.0
2016-12-17,569838.0,174.48
2016-12-17,569845.0,0.0
2016-12-17,569880.0,0.0
2016-12-17,569887.0,0.0
2016-12-17,569894.0,0.0
2016-12-17,569901.0,197.55000000000007
2016-12-17,569908.0,0.0
2016-12-17,569936.0,0.0
2016-12-17,569943.0,0.0
2016-12-17,569950.0,0.0
2016-12-17,569957.0,0.0
2016-12-17,569964.0,0.0
2016-12-17,1609457.0,0.0
2016-12-17,1609870.0,0.0
2016-12-17,1609877.0,0.0
2016-12-17,1609884.0,0.0
2016-12-17,1609891.0,0.0
2016-12-17,1609898.0,0.0
2016-12-17,1609912.0,0.0
2016-12-17,1609926.0,0.0
2016-12-18,383372.0,116.0
2016-12-18,383379.0,102.70000000000002
2016-12-18,383386.0,168.3
2016-12-18,383393.0,111.44
2016-12-18,383400.0,124.63999999999999
2016-12-18,384212.0,27.200000000000003
2016-12-18,384219.0,0.0
2016-12-18,384226.0,26.200000000000003
2016-12-18,384233.0,21.720000000000006
2016-12-18,384240.0,0.0
2016-12-18,384254.0,0.0
2016-12-18,384261.0,0.0
2016-12-18,384268.0,0.0
2016-12-18,384275.0,26.400000000000002
2016-12-18,384282.0,0.0
2016-12-18,384296.0,48.33
2016-12-18,384303.0,21.68
2016-12-18,384310.0,42.480000000000004
2016-12-18,384317.0,10.540000000000001
2016-12-18,384324.0,0.0
2016-12-18,384338.0,0.0
2016-12-18,384345.0,26.85
2016-12-18,384352.0,21.2
2016-12-18,384359.0,42.72
2016-12-18,384366.0,0.0
2016-12-18,569047.0,0.0
2016-12-18,569054.0,0.0
2016-12-18,569061.0,0.0
2016-12-18,569068.0,0.0
2016-12-18,569768.0,196.11000000000007
2016-12-18,569775.0,0.0
2016-12-18,569782.0,87.00000000000001
2016-12-18,569789.0,308.14
2016-12-18,569796.0,203.28
2016-12-18,569824.0,0.0
2016-12-18,569831.0,0.0
2016-12-18,569838.0,0.0
2016-12-18,569845.0,0.0
2016-12-18,569880.0,0.0
2016-12-18,569887.0,131.16000000000003
2016-12-18,569894.0,0.0
2016-12-18,569901.0,0.0
2016-12-18,569908.0,0.0
2016-12-18,569936.0,0.0
2016-12-18,569943.0,0.0
2016-12-18,569950.0,283.78999999999996
2016-12-18,569957.0,65.61
2016-12-18,569964.0,0.0
2016-12-18,1609457.0,0.0
2016-12-18,1609870.0,0.0
2016-12-18,1609877.0,44.73
2016-12-18,1609884.0,0.0
2016-12-18,1609891.0,0.0
2016-12-18,1609898.0,0.0
2016-12-18,1609912.0,0.0
2016-12-18,1609926.0,0.0
2016-12-19,383372.0,440.0
2016-12-19,383379.0,395.0
2016-12-19,383386.0,486.20000000000005
2016-12-19,383393.0,545.2599999999999
2016-12-19,383400.0,524.8
2016-12-19,384212.0,217.60000000000002
2016-12-19,384219.0,211.20000000000002
2016-12-19,384226.0,366.8
2016-12-19,384233.0,450.6900000000001
2016-12-19,384240.0,463.32000000000005
2016-12-19,384254.0,42.160000000000004
2016-12-19,384261.0,162.13000000000002
2016-12-19,384268.0,110.03999999999999
2016-12-19,384275.0,179.52
2016-12-19,384282.0,184.38
2016-12-19,384296.0,0.0
2016-12-19,384303.0,92.14
2016-12-19,384310.0,31.860000000000003
2016-12-19,384317.0,84.32000000000001
2016-12-19,384324.0,85.39999999999999
2016-12-19,384338.0,38.080000000000005
2016-12-19,384345.0,16.11
2016-12-19,384352.0,0.0
2016-12-19,384359.0,0.0
2016-12-19,384366.0,60.89999999999999
2016-12-19,569040.0,218.79000000000002
2016-12-19,569047.0,572.4599999999999
2016-12-19,569054.0,59.519999999999996
2016-12-19,569061.0,335.9200000000001
2016-12-19,569068.0,0.0
2016-12-19,569768.0,196.11000000000007
2016-12-19,569775.0,1071.63
2016-12-19,569782.0,1370.2500000000002
2016-12-19,569789.0,1386.6299999999999
2016-12-19,569796.0,1041.81
2016-12-19,569824.0,0.0
2016-12-19,569831.0,0.0
2016-12-19,569838.0,130.85999999999999
2016-12-19,569845.0,0.0
2016-12-19,569880.0,86.96
2016-12-19,569887.0,174.88000000000005
