date,sales,units_sold,COGs,revenue,mean_tranaction_sales,mean_units_sold,mean_COGs
2016-12-13,9030.84,1153.0,3408.1099999999997,5622.73,74.63504132231405,9.52892561983471,28.166198347107436
2016-12-14,13563.649999999992,1306.0,5080.869999999995,8482.779999999995,89.82549668874167,8.649006622516556,33.64814569536421
2016-12-15,6039.620000000003,810.0,2258.000000000002,3781.6200000000017,56.44504672897199,7.570093457943925,21.102803738317775
2016-12-16,4205.089999999998,487.0,1598.4100000000003,2606.68,59.226619718309834,6.859154929577465,22.512816901408456
2016-12-17,1973.54,226.0,741.9999999999999,1231.5399999999997,50.603589743589744,5.794871794871795,19.025641025641022
2016-12-18,2258.22,272.0,871.5799999999999,1386.6399999999999,66.41823529411764,8.0,25.63470588235294
2016-12-19,12540.900000000003,1372.0,4833.180000000002,7707.719999999997,75.5475903614458,8.265060240963855,29.11554216867471
2016-12-20,2302.4500000000007,215.0,870.95,1431.5000000000005,85.27592592592595,7.962962962962963,32.257407407407406
2016-12-21,3544.660000000001,384.0,1341.53,2203.130000000001,60.07898305084748,6.508474576271187,22.73779661016949
2016-12-22,1989.7600000000002,247.0,766.64,1223.1200000000001,68.61241379310346,8.517241379310345,26.435862068965516
2016-12-23,723.4900000000001,135.0,280.09000000000003,443.3999999999999,42.55823529411765,7.9411764705882355,16.475882352941177
2016-12-24,575.3800000000001,28.0,217.82000000000002,357.56000000000006,95.89666666666669,4.666666666666667,36.303333333333335
2016-12-25,23.700000000000003,6.0,9.120000000000001,14.580000000000002,23.700000000000003,6.0,9.120000000000001
2016-12-26,951.65,179.0,396.84000000000003,554.81,52.86944444444444,9.944444444444445,22.046666666666667
2016-12-27,4013.67,534.0,1565.8799999999999,2447.7899999999995,54.23878378378379,7.216216216216216,21.160540540540538
2016-12-28,4318.28,696.0,1642.4399999999991,2675.8399999999997,59.154520547945204,9.534246575342467,22.49917808219177
2016-12-29,1179.7500000000002,207.0,458.86000000000007,720.8900000000001,34.69852941176471,6.088235294117647,13.495882352941178
2016-12-30,2989.12,395.0,1116.1800000000003,1872.9399999999996,66.42488888888889,8.777777777777779,24.804000000000006
2016-12-31,1589.72,273.0,588.6100000000001,1001.1100000000002,44.15888888888889,7.583333333333333,16.35027777777778
2017-01-01,884.0100000000002,166.0,351.37999999999994,532.63,36.83375000000001,6.916666666666667,14.640833333333331
2017-01-02,3530.66,522.0,1333.7999999999995,2196.86,48.36520547945205,7.1506849315068495,18.27123287671232
2017-01-03,3571.9599999999996,637.0,1353.7100000000007,2218.25,42.023058823529404,7.4941176470588236,15.926000000000009
2017-01-04,3360.28,631.0,1310.8199999999997,2049.4600000000005,46.03123287671233,8.643835616438356,17.95643835616438
2017-01-05,2933.86,418.0,1109.9199999999998,1823.9399999999996,51.47122807017544,7.333333333333333,19.472280701754382
2017-01-06,2959.6800000000003,338.0,1114.46,1845.2200000000003,62.971914893617026,7.191489361702128,23.71191489361702
2017-01-07,1168.2,219.0,439.13,729.07,61.48421052631579,11.526315789473685,23.112105263157893
2017-01-08,1635.3700000000001,260.0,628.0400000000002,1007.33,48.099117647058826,7.647058823529412,18.471764705882357
2017-01-09,5442.0099999999975,751.0,2045.6099999999997,3396.400000000001,50.85990654205605,7.018691588785047,19.117850467289717
2017-01-10,6239.72,1313.0,2444.550000000001,3795.17,63.67061224489796,13.39795918367347,24.944387755102053
2017-01-11,6133.2300000000005,994.0,2330.470000000001,3802.76,70.49689655172415,11.425287356321839,26.787011494252887
2017-01-12,3276.78,526.0,1266.41,2010.3699999999992,55.53864406779661,8.915254237288135,21.46457627118644
2017-01-13,4379.019999999999,568.0,1667.9799999999998,2711.0399999999995,56.14128205128203,7.282051282051282,21.38435897435897
2017-01-14,2383.6700000000005,285.0,901.5700000000002,1482.1,59.59175000000001,7.125,22.539250000000003
2017-01-15,1463.3200000000002,283.0,557.4399999999999,905.88,37.521025641025645,7.256410256410256,14.293333333333331
2017-01-16,7016.329999999998,823.0,2662.440000000001,4353.890000000001,63.78481818181817,7.4818181818181815,24.204000000000008
2017-01-17,5697.179999999998,894.0,2170.640000000001,3526.539999999999,56.407722772277204,8.851485148514852,21.491485148514858
2017-01-18,5008.990000000002,755.0,1888.9099999999999,3120.0800000000013,50.5958585858586,7.626262626262626,19.07989898989899
2017-01-19,9314.129999999996,1322.0,3575.5,5738.630000000001,65.1337762237762,9.244755244755245,25.003496503496503
2017-01-20,2714.69,414.0,1033.2900000000002,1681.3999999999999,48.47660714285714,7.392857142857143,18.451607142857146
2017-01-21,1167.4400000000003,166.0,451.49,715.9499999999999,43.23851851851853,6.148148148148148,16.721851851851852
2017-01-22,1060.43,200.0,402.59999999999997,657.83,30.298000000000002,5.714285714285714,11.502857142857142
2017-01-23,7204.8899999999985,1198.0,2732.3299999999995,4472.5599999999995,52.59043795620437,8.744525547445255,19.944014598540143
2017-01-24,6393.999999999995,1022.0,2443.4900000000007,3950.5100000000007,50.34645669291335,8.047244094488189,19.240078740157486
2017-01-25,5760.069999999999,895.0,2186.4500000000003,3573.6200000000013,50.087565217391294,7.782608695652174,19.012608695652176
2017-01-26,4217.4800000000005,694.0,1588.8199999999995,2628.6600000000026,42.600808080808086,7.01010101010101,16.048686868686865
2017-01-27,2955.8,412.0,1115.4500000000005,1840.35,46.91746031746032,6.5396825396825395,17.705555555555563
2017-01-28,1356.1400000000003,253.0,522.5400000000001,833.6000000000003,31.53813953488373,5.883720930232558,12.152093023255816
2017-01-29,498.39,75.0,188.04999999999998,310.34000000000003,33.226,5.0,12.536666666666665
